	Questions	Cortana	灵犀语音助手	GOOGLE	百度语音助手	Siri			
29.0	提醒我下午两点开会。	提醒我下点错了。	提醒我下午两点开会。	提醒我下午两点开会	北京我下午两点开会	提醒我下午两点开会		DEFG	
30.0	提醒我五月十三号妈妈的生日。	提醒我五月十三号妈妈的生日	提醒我五月十三号妈妈的生日。	提醒我五月十三号妈妈的生日	提醒我五月十三号码了生日	提醒我五月十三号妈妈的生日		DEFG	
31.0	将六月十九号花两千块钱设置到备忘录中。	将六月十九号花两千块钱设置到备忘录中	将六月十九号花两千块钱税。	将六月十九号花两千块钱设置到备忘录中	讲六月十九号花两千块钱设置到备忘录中	将六月十九号花两千块钱设置到备忘录中		DEFG	
32.0	将晨脉四十七设置到备忘录中。	张澄迈四十七设置到备忘录中。	江城卖四十七设置。	江城卖四十七设置到备忘录中	张晨卖四十七设置到备忘录中	张成卖四十七设置到备忘录中		DEFG	
33.0	打开微信。	打开微信。	打开微信。	打开微信	打开微信	打开微信		EFG	
34.0	打开央视影音。	打开央视影音	打开央视影音。	打开央视影音	打开央视影音	打开央视影音		EFG	
35.0	给范冰冰发短信说好的。	你范冰冰发短信说好的。	给范冰冰发短信说好的。	给范冰冰发短信说好的	给范冰冰发短信说好的	给范冰冰发短信说好的		EFG	
36.0	给李晨发短信说九点去吃饭。	给李辰发短信说九点去吃饭。	给李晨发短信说九点去吃饭。	给李晨发短信说九点去吃饭	给李成发短信说九点去吃饭	给李晨发短信说九点去吃饭		DEFG	
37.0	最近最受欢迎的电视剧是什么？	最近最受欢迎的电视剧是什么。	最近最受欢迎的电视剧是什么？	最近最受欢迎的电视剧是什么	最近最受欢迎的电视剧是什么	最近最受欢迎的电视剧是什么		EFG	
38.0	在爱奇艺里找猫和老鼠。	在爱奇艺里找猫和老鼠。	在爱奇艺里找猫和老鼠。	在爱奇艺里找猫和老鼠	在艾奇里找毛和老鼠	在爱奇艺里找猫和老鼠		EFG	
39.0	最近最受欢迎的中文歌曲是什么？	最近最受欢迎的中文歌曲是什么。	最近最受欢迎的中文歌曲。	最近最受欢迎的中文歌曲是什么	最近最受欢迎的中文歌曲是什么	最近最受欢迎的中文歌曲是什么		DEFG	
40.0	在QQ音乐里找到野子。	在qq音乐里找到椅子。	在QQ音乐里找到叶子。	在QQ音乐里找到一叶子	在QQ音乐里找到椰子	在QQ音乐里找到椰子		DEFG	
41.0	增大音量。	增大音量	增大音量。	增大音量	增大音量	增大音量		EFG	
42.0	调低亮度。	调低亮度。	调低亮度。	调低亮度	调低亮度	调低亮度		EFG	
43.0	从微信里提现二百块钱。	从微信里提现二百块钱。	从微信里提现二百块钱。	从微信里提现二百块钱	从微信里提现二百块钱	从微信里提现二百块钱		DEFG	
44.0	用支付宝支付餐费。	用支付宝支付餐费。	用支付宝支付餐费。	用支付宝支付餐费	用支付宝支付餐费	用支付宝支付残废		EFG	
45.0	把小红拉进黑名单。	发小红拉进黑名单。	把小红拉进黑名单。	马晓红拉进黑名单	把小红辣椒很明白	把小红拉近黑名单		EFG	
46.0	电话的黑名单里都有谁？	电话的黑名单里都有谁。	电话的黑名单里都有。	电话的黑名单里都有谁	电话的黑名单里都有谁	电话的黑名单里都有谁		DEFG	
47.0	手机现在后台有多少个应用啊？	手机现在后台有多少个应用吗？	手机现在后台有多少个应用啊！	手机现在后台有多少个应用啊	手机现在后台有多少应用啊	手机现在后台有多少个应用啊		DEFG	
48.0	微信现在运行卡不卡啊？	微信现在运行卡不卡呀。	微信现在运行卡不卡呀！	微信现在用显卡不卡呀	微信现在运行卡不卡呀	微信现在运行卡不卡呀		DEFG	
49.0	把密码设置为一二三四。	把密码设置为一二三四。	把密码设置为一二三四。	把密码设置为一二三四	把密码设置为一二三四	把密码设置为一二三四		DEFG	
50.0	更改相册密码。	更改相册密码。	相册密码。	更改相册密码	更改相册密码	更改相册密码		DEFG	
51.0	你是女的吗？	你是女的吗？	女的吗？	你是女的吗	你是女的吗	你是女的吗		DEFG	
52.0	你是男的吗？	你是男的吗？	男的嘛？	你是男的吗	你是男的吗	你是男的吗		DEFG	
53.0	你喜欢美食吗？	你喜欢美食吗？	你喜欢美食吗？	你喜欢美食吗	你喜欢美食吗	你喜欢美食吗		EFG	
54.0	你喜欢跑步吗？	你喜欢跑步吗？	你喜欢跑步吗？	你喜欢跑步吗	你喜欢跑步吗	你喜欢跑步吗			
55.0	我今天心情特别不好怎么办呀？	我今天心情特别不好怎么办呀。	今天心情特别不好怎么办呀！	我今天心情特别不好怎么办呀	我今天心情特别不好怎么办呀	我今天心情特别不好怎么办呀			
56.0	我特别厌恶一个人怎么办呀？	我特别厌恶一个人怎么办呀。	我特别厌恶一个人怎么办呀！	我特别厌恶一个人怎么办呀	我特别厌恶一个人怎么办呀	我特别烟雾一个人怎么办呀			
57.0	你怎么这么卡呀？	怎么这么卡呀。	你怎么这么卡呀！	怎么这么卡呀	你怎么这么卡呀	你怎么这么卡呀			
58.0	你怎么给我乱推送垃圾网页呀？	你怎么给我乱推送垃圾网页呀。	你怎么给我乱推送垃圾玩意儿呀！	你怎么乱推送垃圾网页呀	你怎么跟我乱推送垃圾往雁鸭	你怎么跟我乱推送垃圾网页呀			
59.0	你会讲笑话吗？	你会讲笑话吗？	讲笑话吗？	你会讲笑话吗	你会讲笑话吗	你会讲笑话吗			
60.0	你会beatbox吗？	你会b box吗？	你报的什么？	你会抱着什么	你会鼻瀑死吗	你会beatboox吗			
