Speaker0017_1.0	四的平方是多少呀？	四平方是多少呀	四平方是多少呀！	十平方是多少呀	四的平方是多少啊	四的平方是多少呀	
Speaker0017_15.0	孜然羊肉好吃吗？	怎样做好吃吗？	自然羊肉好吃吗？	孜然羊肉好吃吗	南阳肉好吃吗	自然羊肉好吃吗	
Speaker0017_16.0	回锅肉做得怎么样？	回锅肉做的怎么样。	回锅肉做得怎么样？	回锅肉做的怎么样	回锅肉作怎么样	回锅肉做得怎么样	
Speaker0017_18.0	海淀怎么走啊？	海淀怎么走	海淀怎么走啊!	海淀怎么走	海淀怎么走啊	海淀怎么走啊	
Speaker0017_19.0	今天是有暴风雨吗？	今天受暴风雨吗？	今天受暴风雨吗？	今天是有暴风雨吗	今天是我暴风雨吗	今天是五暴风雨吗	
Speaker0017_20.0	明天要刮台风。	明天要刮台风。	明天要刮台风。	明天要刮台风	有关台风	明天要刮台风	
Speaker0017_21.0	买个空调，怎么样？	买个空调怎么样。	买个空调怎么样？	买个空调怎么样	买个空调怎么样	买个空调怎么样	
Speaker0017_22.0	我想去商店买一台电脑。	我想去商店买台电脑	我想去商店买台电脑。	我想去商店买一台电脑	我想去商店买台电脑	我想去商店买台电脑	
Speaker0017_25.0	今天新闻三十分播什么新闻了？	今天新闻三十分拨什么情况。	今天新闻三十分播什么什么？	今天新闻三十分播什么新闻吗	今天新闻分分播什么新闻啊	今天新闻三部分	
Speaker0017_26.0	最近有什么火爆的新闻吗？	最近有什么火爆的新闻吗	最近有什么火爆的新闻吗？	最近有什么火爆的新闻吗	最近有什么火爆的新闻吗	最近有什么火爆的新闻吗	
Speaker0017_27.0	明天我要去开会，给我设置一个闹钟。	明天我要去开会给我设置一个闹钟。	天我要去开会，给我设置一个闹钟。	明天我要去开会给我设置一个闹钟	明天我要去开会给我设置一个闹钟	明天我要去开会给我设置一个闹钟	
Speaker0017_28.0	今天我要早点儿起，给我设置一个闹钟。	今天我要早点儿起给我设置一个闹钟。	今天我要早点儿起，给我设置一个闹钟。	今天我要早点给我设置一个闹钟	今天我要早点起过生日有闹钟	今天晚上七点给我设置闹钟	
Speaker0017_29.0	过几天我母亲生日，给我设置一个备忘录。	过几天我母亲生日给我设置一个备忘录	过几天我母亲生日给我设置一个备忘录。	过几天我母亲生日给我设置一个备忘录	过几天我母亲生日给我设置一个备忘录	过几天我母亲给我设置一个备忘录	
Speaker0017_30.0	记得我三十一号要上学啊！	记得提醒我三月一号要上学	记得提醒我三十一号要上学。	记得我爱你三十一号上学啦	记得提醒我三一号要上学了	记得提醒我三一号要上学了	
Speaker0017_31.0	帮我打开火影忍者，我要玩会儿。	帮我打开火影忍者玩会儿	帮我打开火影忍者，我要玩会	帮我打开火影忍者玩会	帮我打开和忍者的玩法	帮我打开昏忍者我要玩会儿	
Speaker0017_32.0	帮我打开微信，我要聊会儿天儿。	帮我打开微信我要聊会儿天儿。	帮我打开微信我要聊会天。	帮我打开微信我要聊会天。	帮我打开微信我要聊会天	帮我打开微信	
Speaker0017_33.0	曾小贤，我要和你合张影。	张小娴我要和你合张影	多少钱我要和你合张影。	多少钱我要和你合张影。	多少钱我要和你合张影	正我想我要和你合张影	
Speaker0017_34.0	杨幂你能给我一张签名儿么？	杨敏能给我一张签名吗？	杨敏能给我一张签名吗？	姚明能给我一张请人吗	有皿能给我一张吃面吗	杨敏能给我一张签名	
Speaker0017_35.0	帮我搜索一下英雄联盟视频。	请帮我搜索一下英雄联盟视频。	请帮我搜索一下英雄盟视频。	请帮我搜索一下雄联盟视频	帮我搜索一下永亮毛巾	帮我搜索一下英雄联盟视频	
Speaker0017_36.0	搜索一下，最近的足球比赛视频。	搜索一下最近的足球比赛视频。	搜索一下最近的足球比赛视频。	搜索一下最近的足球比赛视频	搜索一下最近的足球比赛视频	搜索一下最近的足球比赛视频	
Speaker0017_37.0	最近有什么好听的歌儿吗？	最近有什么好听的歌吗？	最近有什么好听的歌吗？	最近有什么好听的歌吗	最近有什么好听的歌吗	最近有什么好听的歌吗	
Speaker0017_38.0	Star boy是谁唱的？	Star boy是谁唱的。	然而不管是谁唱。	十cc是谁唱	哪管是谁唱的	siri是谁唱	
Speaker0017_39.0	帮我打开飞行模式。	帮我打开飞行模式。	帮我打开飞行模式。	帮我打开飞行模式	帮我打开飞行模式	帮我打开飞行模式	
Speaker0017_40.0	我要把我手机静音。	我要把我手机静音	我把我手机静音。	我把我手机静音	我把我手机静音	我要把我手机静音	
Speaker0017_41.0	帮我算一下，这笔帐。	帮我搜一下这里到	帮我算一下这笔账。	帮我查一下这笔账	帮我发下给赵	帮我算一下等于了	
Speaker0017_42.0	我要去银行查一下我的收益。	我想去银行查一下我的收益。	我想去银行查一下我的收益。	我想去银行查一下我的收益	我要去银行查一下我的手艺	我要去银行查一下我的手艺	
Speaker0017_43.0	我的手机最近有点卡，需不需要升级啊！	我的手机最近有点卡需不需要升级。	我的手机最近有点卡需不需要。	我的手机最近有点卡需不需要升级	我的手机最近我的卡是不想升级	我的手机最近有点卡需不需要升级呀	
Speaker0017_44.0	怎么样提升我手机的运行速度啊？	怎么样提升手机的运行速度。	怎么样提升手机的运行速度啊！	怎么样提升手机的运行速度	怎么样提升手机的运行速度	怎么样提升手机的运行速度	
Speaker0017_45.0	你喜欢上网吗？	你喜欢上网吗？	你喜欢上网吗？	你喜欢上网吗	你喜欢上网吗	你喜欢上网吗	
Speaker0017_46.0	你喜欢玩游戏吗？	你喜欢玩游戏吗？	你喜欢玩游戏吗？	你喜欢玩游戏吗	你喜欢玩游戏吗	你喜欢玩游戏吗	
Speaker0017_47.0	我最近心情特别不爽。	我最近心情特别不爽。	特别不爽。	我最近心情特别不爽	我最近心情特别不爽	我最近心情特别不爽	
Speaker0017_48.0	我玩英雄联盟连赢了五把心情特别好。	我玩英雄联盟恋老五百心情特别好。	我玩应用联盟连赢了五百。	我打英雄联盟联用了五百五年特别好	我打用联盟连赢了五把视屏特别好	我玩英雄联盟连赢了五百新年特别好	
Speaker0017_49.0	你帮我查一下字典。	你帮我查一下字典。	你帮我查一下字典。	你帮我查一下字典	你帮我查一下字典	你帮我查一下字典	
Speaker0017_50.0	你帮我打扫一下家务。	你帮我打扫一下加五。	你帮我打扫一下家务。	你帮我打扫一下家务	你帮我打扫一下家务	你帮我打扫一下家务	
