Speaker0118_1.0	三加三再乘二等于几呀？	三加三再乘二等于几啊。	三加三再乘二等于几啊	商家山寨城二等于几啊	张家山再乘二等于几啊	三加三再乘二等于几啊！	
Speaker0118_12.0	这几天股票上涨的好吗？	这几天股票上涨的好吗？	这几天股票上涨的好吗	这几天股票上涨得好吗	这几天股票上涨的好吗	这几天股票上涨的好吗？	
Speaker0118_13.0	我想买台空调，应该哪里买最合适？	我想买台空调应该哪里买再喝。	我想买台空调在哪里买最合适	我想买台空调应该哪里买最合适	我想买台空调间在哪里买最合适	我想买台空调应该哪里买最合适？	
Speaker0118_14.0	我想买件衣服什么样的品牌最好？	我想买件衣服什么样的品牌最好。	我想买件衣服什么样的品牌最好	我想买件衣服什么样的品牌最好	我想买件衣服什么样的品牌最好	我想买件衣服什么样的品牌最好？	
Speaker0118_15.0	今天孩子想吃红烧肉应该怎么做？	今天孩子显示红烧肉应该怎么做。	今天孩子想吃红烧肉应该怎么做	今天孩子想吃红烧肉应该怎么做	今天孩子想吃红烧肉应该怎么做	今天孩子想吃红烧肉，我应该怎么做？	
Speaker0118_16.0	今天天热，想吃凉面。	今天天热下吃凉面。	今天天热想吃凉面	今天天热线测量面	今天天热想吃凉面	今天天热想吃凉面。	
Speaker0118_17.0	我要上北京西站应该怎么走？	我要上北京西站应该怎。	我要上北京西站应该怎么走	我要上北京西站应该怎么走	我要上北京西站应该怎么走	我要上北京西站应该怎么走？	
Speaker0118_18.0	我要去天安门应该坐哪一趟车？	我要去天安门应该坐哪一趟车	我要去天安门应该坐哪一趟车	我要去天安门应该坐哪一趟车	我要去天安门应该坐哪趟车	我要去天安门应该坐哪一趟车？	
Speaker0118_19.0	今天的空气怎么样，有雾霾吗？	今天的空气怎么样有雾霾吗?	今天的空气怎么样有雾霾吗	今天的空气怎么样有雾霾吗	今天的空气怎么压油雾霾吗	今天的空气怎么样有雾霾吗？	
Speaker0118_20.0	今天阴天了，有阵雨嘛？	今天阴天了有阵雨吗?	今天阴天了有阵雨吗	今天阴天了有阵雨吗	今天今天还有阵雨吗	今天阴天了有阵雨吗？	
Speaker0118_21.0	我想买一双鞋哪里 *合适？	我想买一双鞋哪里在合适。	我想买一双鞋哪里在合适	我想买一双鞋哪里在合适	我想买一双鞋哪里在合适	我想买一双鞋哪里在合适啊！	
Speaker0118_22.0	我想买个包，附近哪里最近？	我想买个包主见哪里最近。	我想买个包附近哪里再见	我想买个包附近哪里最近	我想买个包附件哪里最近	我想买个包福建哪里最近？	
Speaker0118_23.0	现在都有什么游戏啊？	现在都有什么游戏呀。	现在都有什么游戏呀	现在都有什么游戏呀	现在都有什么游戏啊	现在都有什么游戏啊！	
Speaker0118_24.0	现在年轻人都玩哪些游戏啊？	现在年轻人都玩哪些游戏呀。	现在年轻人多玩哪些游戏呀	现在年轻人多玩哪些游戏啊	现在年轻人都玩哪些游戏啊	现在年轻人都玩哪些游戏啊！	
Speaker0118_25.0	请问今天的热点新闻是什么？	请问今天的热点新闻是？	请问今天的热点新闻是什么	请问今天的热点新闻是什么	请问今天的热点新闻是什么	请问今天的热点新闻是什么？	
Speaker0118_26.0	请问电视上新闻是哪个点报的？	请问电视台新闻是哪个点报道？	请问电视塔新闻是哪一个点报告	请问电视上新闻是哪一个点报告	请问电视看新闻是哪个点爆炸	请问电视上新闻是哪个点报的？	
Speaker0118_27.0	明天早上我上班，定个五点的闹钟。	明天早上我上班电力五点的闹钟。	明天早上我上班店里五点的闹钟	明天早上我上班得五点的闹钟	明天早上我上班定的五点的闹钟	明天早上我上班店里五点的闹钟。	
Speaker0118_28.0	今天早上我定的四点我就起来了。	今天早上我定理四点就起来了。	今天早上我定的四点起来了	今天早上我店的四点我就起来了	今天早上我订的四点我就起来了	今天早上我定的四点我就起来了。	
Speaker0118_29.0	提醒一下今天下午我要三点接孩子。	提醒我一下今天下午三点接孩子	提醒我一下今天下午三点接孩子	提醒我一下今天下午三点接孩子	提醒我一下今天下午我要三点接孩子	提醒一下今天下午我要三点接孩子。	
Speaker0118_30.0	别忘了今天晚上六点回来吃饭。	别忘了今天晚上六点回来吃饭	别忘了今天晚上六点回来吃饭	别忘了今天晚上六点回来吃饭	别忘了今天晚上六点回来吃饭	别忘了今天晚上六点回来吃饭？	
Speaker0118_31.0	打开搜狐新闻。	打开搜狐新闻。	打开搜狐新闻	打开搜狐新闻	打开搜狐新闻	打开搜狐新闻。	
Speaker0118_32.0	打开爱奇艺要看新闻。	打开爱奇艺要看新闻。	打开爱奇艺要看新闻	打开爱奇艺也要开心粉	打开爱奇艺要看新版	打开爱奇艺要开新班。	
Speaker0118_33.0	给宋丹丹发个信息，你好。	给宋丹丹发个信息您好	给送的在发个信息你好	给宋丹丹发个信息你好	给宋单单发个信息您好	给宋丹丹发个信息你好。	
Speaker0118_34.0	给朱军发信息最近你好吗？	该资金发信息最近你好吗？	给之间发信息是最近你好吗	大猪圈发信息最近你好吗	该中心发信息是最近你好吗	给周建发信息最近你好吗？	
Speaker0118_35.0	给我发一个搞笑的视频看看。	给我发一个搞笑的视频看看。	给我发一个搞笑的视频看看	给我发一个搞笑的视频看看	给我发一个搞笑的视频看看	给我发一个搞笑的视频看看。	
Speaker0118_36.0	看一下昨天的星光大道。	看一下昨天的星光大道。	看一下昨天的星光大道	看一下昨天的星光大道	看一下昨天的星光大道	看一下昨天的星光大道。	
Speaker0118_37.0	我想听凤凰传奇的荷塘月色。	我想听凤凰传奇的荷塘月色	我想听凤凰传奇的荷塘月色	我想听凤凰传奇的荷塘月色	我想听凤凰传奇的荷塘月色	我想听凤凰传奇的荷塘月色。	
Speaker0118_38.0	我想听筷子兄弟的小苹果。	我想听筷子兄弟的小苹果	我想听筷子兄弟的小苹果	我想听筷子兄弟的小苹果	我想听筷子兄弟的小苹果	我想听筷子兄弟的小苹果。	
Speaker0118_39.0	将手机设置成会议模式。	将手机设置会议模式。	将手机设置成会模式	将手机设置车会模式	将手机设置成会议模式	将手机设置成会议模式。	
Speaker0118_40.0	关闭手机的蓝牙。	关闭手机的蓝牙。	关闭手机的蓝牙	关闭手机的蓝牙	关闭手机的蓝牙	关闭手机的蓝牙。	
Speaker0118_41.0	我给孩子转账了一百元。	我给孩子转账了一百元。	我该孩子转账的一百元	我该孩子转账了一百元	我该孩子家长的一百元	我改还在讲价了一百元。	
Speaker0118_42.0	用支付宝付款五十块。	用支付宝付款五十块。	用支付宝付款五十块	用支付宝付款五十块	用支付宝付款五十块	用支付宝付款五十块。	
Speaker0118_43.0	手机还有多少电？	手机还有多少电。	手机还有多少电	手机还有多少电	手机还有多少电	手机还有多少电？	
Speaker0118_44.0	手机话费还有多少余额？	手机话费还有多少余额。	手机话费还有多少余额	手机话费还有多少余额	手机话费还有多少余额	手机话费还有多少余额？	
Speaker0118_45.0	你喜欢跳舞吗？	你喜欢跳舞吗？	你喜欢跳舞吗	你喜欢跳舞吗	你喜欢跳舞吗	你喜欢跳舞吗？	
Speaker0118_46.0	你喜欢在哪里健身？	你喜欢在哪里健身。	你喜欢在哪里健身	你喜欢在哪里健身	你喜欢在哪里见山	你喜欢在哪里健身？	
Speaker0118_47.0	我今天出来逛街，心情很好。	我今天出来逛街心情很好。	我今天出来逛街心情很好	我今天出来逛街心情很好	我今天出来逛街心情很好	我今天出来逛街心情很好。	
Speaker0118_48.0	每天去跳舞，心情很好。	每天去跳舞心情很好。	每天去跳舞心情很好	每天去跳舞心情很好	买天去跳湖新城广场	每天去跳舞心情很好。	
Speaker0118_49.0	你跟我一起去跳舞呗！	你跟我一起去跳舞吧。	你跟我一起去跳舞呗	你跟我一起去跳舞吧	你跟我一起学跳舞呗	你跟我一起去跳舞呗！	
Speaker0118_50.0	你跟我一起去购物。	你跟我一起去购物。	你跟我一起去购物	你跟我一起去购物	你跟我一起去购物	你跟我一起去购物。	
