Speaker0009_1.0	呃十加六等于几？	呃十加六等于几。	徐加六等于几？	十加六等于几	哦徐加六等于几？	呃十加六等于几	
Speaker0009_12.0	中国化工股票涨幅。	中国化工股票涨幅。	播放公主漂亮福。	中国化工股票涨幅	中国化工股票涨幅	中国化工股票涨幅	
Speaker0009_13.0	海尔电视。	海尔电视。	两点去。	海尔电视	海淀区	海尔电视	
Speaker0009_14.0	苹果电脑。	苹果电脑。	苹果电脑。	苹果电脑	苹果电脑	苹果电脑	
Speaker0009_15.0	锅包肉怎么做？	锅包肉怎么做。	我要怎么做？	锅包肉怎么做	锅包肉怎么做	过包肉怎么做	
Speaker0009_16.0	水煮牛肉怎么做？	这种牛肉怎么做。	牛肉怎么做？	水煮牛肉怎么做	水煮牛肉怎么做	徐总牛肉怎么做	
Speaker0009_17.0	我想去鼓楼大街。	你个垃圾。	旧鼓楼大街。	我想去鼓楼大街	我想去鼓楼大街	我想去鼓楼大街	
Speaker0009_18.0	我想去颐和园。	我想去颐和园。	我想去颐和园。	我想去颐和园	我想去颐和园	我想去颐和园	
Speaker0009_19.0	北京今天有雾霾吗？	北京今天有雾霾吗？	今天雾霾吗？	北京今天有雾霾吗	北京今天有买吗	北京今天有雾霾吗	
Speaker0009_20.0	南京明天有没有雨？	南京明天有没有雨？	南京明天有没有雨？	南京明天有没有雨	南京明天有没有雨	南京明天有没有雨	
Speaker0009_21.0	这双鞋有黑色的吗？	这双鞋有黑色的吗？	也有黑色的吗？	这双鞋有黑色的吗	对上学有黑色的吗	这双鞋有黑色的吗	
Speaker0009_22.0	联想笔记本京东有打折吗？	联想笔记本京东有打折吗？	联想笔记本京东有打折吗？	联想笔记本京东有打折吗	联想笔记本京东有打折吗	联想笔记本京东有打折吗	
Speaker0009_23.0	穿越火线哪个人物比较好？	穿越火线哪个人物比较好。	穿越火线哪个人物比较好？	穿越火线哪个人物比较好	穿越火线哪个人物比较好	穿越火线哪个人物比较好	
Speaker0009_24.0	跑跑卡丁车哪辆车最好用？	跑跑卡丁车哪辆车最好用。	跑跑卡丁车，哪辆车最好用。	跑跑卡丁车乃亮是个最好用	跑跑卡丁车哪辆车最好用	跑跑卡丁车哪辆车最好用	
Speaker0009_25.0	白百何新闻。	白百何新闻。	白百何新闻？	白百何新闻	白百合新闻	拜拜和细纹	
Speaker0009_26.0	小沈阳新闻。	小沈阳喜欢。	小沈阳新闻。	小沈阳新闻	小沈阳新闻	小沈阳喜欢	
Speaker0009_27.0	设置闹钟每天早晨七点半。	设置闹钟每天早晨七点半。	设置闹钟每天早晨七点半。	设置闹钟每天早晨七点半	设置闹钟每天早晨七点半	设置闹钟每天早晨七点半	
Speaker0009_28.0	设置闹钟每天晚上十点。	设置闹钟每天晚上十点。	设置闹钟每天晚上十点。	设置闹钟每天晚上十点	修真道中每天晚上十点	设置闹钟每天晚上十点	
Speaker0009_29.0	提醒我明天早晨九点去开会。	提醒我明天早上九点去开会。	提醒我明天早晨九点去开会。	提醒我明天早晨九点去开会	提醒我明天早晨九点去开会	提醒我明天早晨九点去开会	
Speaker0009_30.0	提醒我明天晚上六点去参加聚会。	提醒我明天晚上六点去参加聚会。	提醒我明天晚上六点去参加聚会。	提醒我明天晚上六点去参加聚会	提醒我明天晚上六点去参加聚会	提醒我明天晚上六点去参加聚会	
Speaker0009_31.0	打开支付宝。	打开支付宝。	打开支付宝。	打开支付宝	打开支付宝	打开支付宝	
Speaker0009_32.0	打开微信。	微信。	打开微信。	打开微信	打开微信	打开微信	
Speaker0009_33.0	给高晓松发短信。	打开短信。	给高晓松发短信。	给高晓松发短信	给高晓松发短信	给高晓松发短信	
Speaker0009_34.0	给宋小宝发短信。	给参加本发短信。	给姗姗发短信。	格栅要发短信	给发下吧短信	给宋小宝短信	
Speaker0009_35.0	记忆大师电影。	电影。	第一大师电影。	记忆大师电影	记忆大师电影	记忆大师电影	
Speaker0009_36.0	寻龙诀电影。	寻龙诀电影。	寻龙诀电影。	寻龙诀电影	寻龙诀电影	寻踪觉电影	
Speaker0009_37.0	灰色头像许嵩。	灰色头像许嵩。	头像许嵩。	灰色头像许嵩	灰色头像许嵩	灰色头像许嵩	
Speaker0009_38.0	千里之外周杰伦。	千里之外周杰伦。	千里之外周杰伦。	千里之外周杰伦	千里之外周杰伦	千里之外周杰伦	
Speaker0009_39.0	把手机静音。	把手机静音	把手机静音。	把手机静音	把手机静音	把手机静音	
Speaker0009_40.0	设置手机会议模式。	设置手机会议模式。	手机会议模式。	设置手机会议模式	设置手机会没血	手机会模式	
Speaker0009_41.0	支付宝提现五百元。	支付宝提现五百元。	提现五百元。	支付宝提现五百元	支付宝提现五百元	支付宝提现五百元	
Speaker0009_42.0	微信支付一百元。	微信支付一百元。	微信支付一百元。	微信支付一百元	微信支付一百元	微信支付一百元	
Speaker0009_43.0	手机电池还能用多久？	手机电池还能用多久。	电池还能用多久？	手机电池还能用多久	手机电池还能用多久	手机电池还能用多久	
Speaker0009_44.0	手机内存满了吗？	手机内存满了吗？	手机内存满了吗？	手机内存满了吗	手机内存满了吗	手机内存满了吗	
Speaker0009_45.0	你喜欢什么颜色？	你喜欢什么颜色。	什么颜色？	你喜欢什么颜色	你喜欢什么颜色	你喜欢什么颜色	
Speaker0009_46.0	你的爱好是什么？	你的爱好是什么。	你的爱好是什么？	你的爱好是什么	你的爱好是什么	你的爱好是什么	
Speaker0009_47.0	我今天心情不错。	我今天心情不错。	我今天心情不错。	我今天心情不错	我今天心情不错	我今天心情不错	
Speaker0009_48.0	我今天不太高兴。	我今天不太高兴。	今天不太高兴。	我今天不太高兴	我今天不太高兴	我今天不太高兴	
Speaker0009_49.0	帮我去买饭。	帮我去买饭	帮我去买饭。	帮我去买饭	帮我去买饭	帮我去买饭	
Speaker0009_50.0	帮我去买电影票。	帮我去买电影票。	帮我去买电影票。	帮我去买电影票	帮我去买电影票	帮我去买电影票	
