Speaker0097_1.0	九千九百九十九块钱差多少钱凑够一万块钱？	九百九十九块钱。	九千九百九十九块块钱差多少钱才够一万块钱。	九千九百九十九块钱差多少钱才够一百块钱	九千九百九十九块钱差多少钱	九千九百九十九块钱相差多少钱超过一万块钱	
Speaker0097_17.0	协和医院有几个地方？	协和医院有几个地方。	你有几个地方。	协和医院有几个地方	适合医院有几个地方	西和医院有几个地方	
Speaker0097_18.0	清华大学在哪儿？	清华大学在哪儿？	清华大学在哪儿。	清华大学在哪	清华大学在哪	清华大学在哪儿	
Speaker0097_19.0	今天天气有雨吗？	今天天气有雨吗？	今天天气有雨吗？	今天天气有雨吗	今天天气有雨吗明天天气有雨吗	今天天气有雨吗	
Speaker0097_20.0	最近一个月的降水量是多少？	最近一个月的降水量是多少？	最近一个月的。	最近一个月的降水量是多少	最近一个月的降水量是多少	最近一个月能赚流量是多少	
Speaker0097_21.0	现在物美大卖场有什么优惠信息没有？	大卖场有什么优惠信息没有？	现在物美大卖场有什么用。	现在物美大卖场有什么游戏会信息没有	现在物美大卖场有什么用	我现在我没大卖场有什么	
Speaker0097_22.0	附近有没有价格便宜的菜市场？	近有没有价格便宜的菜市场？	附近有没有价格便宜的菜市场？	附近有没有价格便宜的菜市场	附近有没有价格便宜的菜市场	附近有没有找个便宜的菜市场	
Speaker0097_23.0	现在王者荣耀需不需要充钱啊？	在玩这种游戏不需要充钱啊！	下载王者荣耀需不需要充钱呀。	下载王者荣耀需不需要充钱呀	现在王者荣耀系不需要充钱呀	现在王者荣耀七个小从前呀	
Speaker0097_24.0	王者荣耀现在有没有新优势呀？	按照中方现在有没有新优势	王者荣耀现在有没有新优势呀？	王者荣耀现在有没有心事呀	王者伊侬现在有没有优势呀	蝾螈现在有没有信用社呀	
Speaker0097_25.0	太平洋保险公司现在有什么新的政策？	太平洋保险公司现在有什么新的政策。	太平洋保险公司现在有什么新的政策。	太平洋保险公司现在有什么新的政策	太平洋保险公司现在有什么新的政策	太平洋保险公司现在有什么新的政策	
Speaker0097_26.0	现在北京高考的分数线是多少啊？	现在北京高考的分数线是多	现在北京高考的分数线是多少呀。	现在北京高考的分数线是多少呀	现在北京高考的分数线是多少呀	现在北京高考的分数线显示多少呀	
Speaker0097_27.0	设置明天早上五点的闹钟。	设置明天早上一点的闹钟。	设置明天早上五点的闹钟。	设置明天早上五点的闹钟	设置明天早上五点的钟	设置明天早上五点的闹钟	
Speaker0097_28.0	设置明天早上一点的闹钟。	设置明天早上七点的闹钟。	设置明天早上七点的闹钟。	设置明天早上一点的闹钟	设置明天早上一点闹钟	设置明天早上一点闹钟	
Speaker0097_29.0	提醒我今天下午一点上班。	提醒我今天下午一点上班。	提醒我今天下午一点上班儿。	提醒我今天下午一点上班	提醒我今天下午一点	提醒我今天下午一点	
Speaker0097_30.0	提醒我下周一到健身房锻炼。	提醒我下周一到健身房锻炼。	提醒我下周一到健身房锻炼	提醒我下周一到健身房锻炼	提醒我下周一道健康的锻炼	提醒我下周一到叫什么锻炼	
Speaker0097_31.0	打开异性。	打开易信。	打开易信。	打开易信	打开一静	打开异性	
Speaker0097_32.0	打开多点。	打开多点。	打开多个点。	打开多点	打开不点	打开多点	
Speaker0097_33.0	我给范冰冰发短信，今天晚上吃饭。	我给范冰冰发短信，今天晚上吃饭。	给范冰冰发短信今天晚上吃饭	我给范冰冰发短信今天晚上吃饭	我给范冰冰话短信今天晚上吃饭	我给范冰冰话短信今天晚上吃饭	
Speaker0097_34.0	给郭德纲发短信，晚上看你的相声。	给郭德纲发短信，今天晚上看你的相声。	给郭德纲发短信今天晚上看一个相声	给郭德纲发短信晚上看你的相声	给我的伤发短信来上看你的想象	帮我发短信晚上看你的相声	
Speaker0097_35.0	搜索一下《白鹿原》。	搜索一下白鹿原。	搜索一下白鹿原	搜索一下白鹿原	搜索下白鹿原	搜索一下白鹿原	
Speaker0097_36.0	搜索一下《甄嬛传》。	搜索一下甄嬛传。	搜索一下甄嬛传。	搜索下甄嬛传	搜索下甄环传	搜索一下振环转	
Speaker0097_37.0	搜索一下许丽静的《酒后更想你》。	索一下徐丽静的酒后更想你。	搜索一下学历进来酒后更想你。	搜索一下徐俐静的酒后更想你	搜索名家徐丽仙的酒后更想你	搜索一下许莉进的酒后更想你	
Speaker0097_38.0	搜索一下《相信自己》。	搜索一下相信自己？	搜索一下相信自己。	搜索一下相信自己	搜索相信自己	搜索一下相信自己	
Speaker0097_39.0	把手机调整到正常速度。	把手机调整到正常速度。	把手机调成到正常速度	把手机调整到正常速度	把手机调整到正常速度	把手机调整成到正常速度	
Speaker0097_40.0	加速手机内存。	加速手机里从。	他说手机内存。	加速手机内存	加速手机内存	你从加速手机内存	
Speaker0097_41.0	在线支付一百元。	在线支付一百元。	在线支付一百元。	在线支付一百元	在线支付一百元	在线支付一百元	
Speaker0097_42.0	用微信在京东上买点儿东西。	我用微信在京东上买的东西。	在京东上买的。	用微信在京东上买点东西	用微信在京东上买东西赠送吗	用微信在京东上买的东西	
Speaker0097_43.0	喂，自己的手机上现在有多少个软件？	我也自己的手机上现在有多	为自己的手机上现在有多少个软件。	自己的手机上现在有多少个软件	为自己的手机上现在有多少个软件	为自己的手机上现在有多少个软件	
Speaker0097_44.0	我的手机是用的用的怎么老是卡啊？	我手机是用来用的怎么老是	怎么老是卡呀。	我手机上用的呀	手机是用来用的怎么老是卡呀	手机	
Speaker0097_45.0	奥，你喜欢什么样的歌？	你喜欢什么样的歌？	你喜欢什么样的歌。	你喜欢什么样的歌	你喜欢什么样的歌	你喜欢什么样的歌	
Speaker0097_46.0	你喜欢旅游吗？	你喜欢旅游吗？	你喜欢旅游吗？	你喜欢旅游吗	你喜欢旅游吗	你喜欢旅游吗	
Speaker0097_47.0	因为我的父亲得了重病，所以现在心情非常痛苦，不知道自己该怎么办？	常痛苦不知道自己该怎么办。	我的父亲。	因为我的父亲得了众便所以现在心情非常痛苦不知道自己该怎么办	因为我的父亲的了重病所以现在心情非常痛会导致寄生虫	付钱所以现在心情非常痛不知道自己该怎么办	
Speaker0097_48.0	今天挣钱了，我心情非常好。	今天挣钱了，我心情非常好。	今天我心情非常好。	今天挣钱为何心情非常好	兴田镇海富经典会所	今天挣钱了我心情非常好	
Speaker0097_49.0	你给我找个女朋友吧。	你给我找个女朋友吧！	你给我找个女朋友吧。	给我找个女朋友吧	你给我找个女朋友吧	你给我找个女朋友吧	
Speaker0097_50.0	请给我介绍一本励志的书籍。	请给我介绍一本励志的书籍。	请给我介绍一款励志的书籍。	请给我介绍一般励志的书籍	QQ汽车一般励志的书籍。	亲给我介绍一个一百	
