Speaker0116_1.0	三乘三等于几呀？	三乘三等于几呀。	三等于几？	三十三等于几呀	孙中山的一比啊	三乘三等于几	
Speaker0116_24.0	军旗的玩法是什么？	新奇的玩法是什么	今期的玩法是什么？	军棋的玩法是什么	经济的玩法是什么	惊奇的玩法是什么	
Speaker0116_25.0	今天的政治新闻是什么？	今天的政治新闻。	今天的政治新闻是什么？	今天的政治新闻是什么	今天的政治新闻是什么	今天的政治新闻是什么	
Speaker0116_26.0	今天国际上有什么大事发生？	今天国际上有什么大事发生	今天国际上有什么大事发生。	今天国际上有什么大事发生	今天和地方有什么大事发生	今天国际上有什么大事发生	
Speaker0116_27.0	设置明天早晨的闹钟，我要买菜。	设置明天早上的闹钟我要买菜。	设置明天早上的闹钟，我要买菜。	设置明天早上的闹钟我要买菜	设置明天早晨的闹钟	设置明天早上的闹钟我要买菜	
Speaker0116_28.0	我要跟人家见面，设置今天晚上的闹钟。	我要跟你见见面设置今天晚上的闹钟	我要跟人家见面设置今天晚上的闹钟。	我要跟人家见面设置今天晚上的闹钟	我要个人见见面设置今天晚上的闹钟	我要个人的界面设置今天晚上的闹钟	
Speaker0116_29.0	今晚我约了人吃饭，提醒我一下。	今晚约了人吃饭提醒我一下	今晚约了人吃饭提醒我一下。	今晚约了人吃饭提醒我一下	今晚约了人吃饭一定我一下	今晚约了人吃饭提醒我一下	
Speaker0116_30.0	今晚接孩子下学，提醒我一下。	今晚接孩子下雪提醒我一下	今晚接孩子下学提醒我一下。	今晚接孩子下学提醒我一下	今晚接孩子下学提醒我一下	今晚接孩子下学提醒我一下	
Speaker0116_31.0	我要看新闻，打开知乎。	我要看新闻打开知乎。	要看新闻打开知乎。	我要看新闻打开知乎	我要看几门打开识骨	我要看新闻打开知乎	
Speaker0116_32.0	打开百度云。	打开百度云	打开百度云。	打开百度云	打开百度云	打开百度云	
Speaker0116_33.0	给陈坤发短信，约他一起逛街。	给成昆发短信约他一起逛街	给陈坤发短信约她一起逛街。	给陈坤发短信约她一起逛街	水城坤发短信说堂一起逛街	给陈坤发短信约她一起逛街	
Speaker0116_34.0	给金城武发短信，约他晚上一起吃饭。	北京中午发短信说她晚上一起吃饭	给金城武发短信约她晚上一起吃饭？	最近中午发短信约她晚上一起吃饭	北京中午发短信说他晚上一起吃饭	最近中午发短信约她晚上一起吃饭	
Speaker0116_35.0	帮我搜一个电影看看。	帮我搜一个电影看	帮我搜一个电影看？	帮我搜一个电影看看	帮我搜一个电影看	帮我搜一个电影看看	
Speaker0116_36.0	我想看一个娱乐视频。	我想看一个娱乐视频	我想看一个娱乐视频。	我想看一个娱乐视频	我想看一个娱乐视频	我想看一个娱乐视频	
Speaker0116_37.0	我想听彭丽媛的在希望的田野上。	我想听彭丽媛的在希望的田野上	我想听彭丽媛的在希望的田野上。	我想听彭丽媛的在希望的田野上	我想听彭丽媛的在希望的田野上	我想听彭丽媛的在希望的田野上	
Speaker0116_38.0	我想听李谷一的难忘今宵。	我想听李谷一的难忘今宵	我想听李谷一的难忘今宵。	我想听李谷一的难忘今宵	我想听李谷一的难忘今宵	我想听李谷一的难忘今宵	
Speaker0116_39.0	请帮我把手机的亮度调高。	请帮我把手机的亮度调高	请帮我把手机的亮度调高。	请把我把手机的亮度调高	请帮我发手机的亮度调高	请帮我把手机的亮度调高	
Speaker0116_40.0	帮我把手机的音量调低。	把手机的音量调低。	把手机的音量调低。	帮我把手机的音量调低	帮我把手机的音量调的	帮我把手机的音量	
Speaker0116_41.0	帮我给小明转账十元。	帮我给小明转账十元	帮我给小明转账十元。	帮我给小明转账十元	帮我给晓铭传赵驰爰	帮我给小明转账十元	
Speaker0116_42.0	我要买衣服支付一百元。	我要买衣服支付一百元	我要买衣服支付一百元。	我要买衣服支付一百元	我要买衣服支付一百元	我要买衣服支付一百元	
Speaker0116_43.0	现在手机是什么模式？	现在手机是什么模式	现在手机是什么模式？	现在手机是什么模式	现在手机什么模式	现在手机是什么模式	
Speaker0116_44.0	现在手机装了多少软件儿?	现在手机装了多少软件	现在手机装了多少软件。	现在手机装了多少软件	现在手机装了多少软件	现在手机装了多少软件	
Speaker0116_45.0	你喜欢红色吗？	你喜欢红色吗	你喜欢红色吗？	你喜欢红色吗	一起欢红色吗	你喜欢红色吗	
Speaker0116_46.0	你喜欢吃南方菜还是北方菜？	你喜欢吃南方菜还是北方菜	你喜欢吃南方菜还是北方菜？	你喜欢吃南方菜还是北方菜	一起欢吃南方菜还是北方菜	你喜欢吃南方菜还是北方菜	
Speaker0116_47.0	我买了新衣服很开心。	买了新衣服很开心	我买了新衣服很开心。	我买了新衣服很开心	衣服很开心	我买的新衣服很开心	
Speaker0116_48.0	今天天热，心里烦躁。	今天天热心里烦躁	今天天热心里烦躁。	今天天热心里烦躁	今天天热机理烦躁	今天天热心里烦躁	
Speaker0116_49.0	你帮我接孙子。	你帮我接孙子	你帮我接孙子。	你帮我接孙子	你帮我接孙子	你帮我解锁	
Speaker0116_50.0	你给我写作业去。	你给我写作业去	你给我写作业去。	你给我写作业去	你给我点种液体	你给我写作业去	
