Speaker0023_1.0	一加二十乘以八等于几？	一加二加三乘以八等于几。	你叫叫声等于八等于几？	JS加上三十八等于几	一三三八的	从八等于几	
Speaker0023_22.0	今年买什么车比较好？	今年买什么车比较好？	今年买什么车比较好？	今年买什么车比较好	今年买什么车比较好	今年买什么车比较好	
Speaker0023_23.0	现在什么游戏比较火？	现在啥游戏比较火	现在啥游戏比较火。	现在上游戏比较火	现在啥游戏比较火	现在上游戏比较火	
Speaker0023_24.0	现在玩什么游戏挣钱？	现在玩什么游戏赚钱。	现在玩什么游戏中。	现在玩什么游戏挣钱	现在玩什么游戏挣钱	现在玩什么游戏	
Speaker0023_25.0	北京有什么重大新闻？	北京有什么重大新闻。	北京有什么重大新闻。	北京有什么重大新闻	北京有什么重大新闻	北京有什么重大新闻	
Speaker0023_26.0	北京最新新闻是什么？	北京最新新闻是什么。	包括最新情况是什么？	北京最新情况是什么	北京最新新闻是什么	北京最新新闻是什么	
Speaker0023_27.0	凌晨五点闹钟，我要去跑步。	凌晨五点闹钟我要去跑步。	明上午的闹钟，我要去跑步。	凌晨五点闹钟我要去跑步	凌晨五点闹钟我要去跑步	铃声五点闹钟我要去跑步	
Speaker0023_28.0	早上七点闹钟，我要上班。	早上七点闹钟我要上班。	早上七点闹钟我要上班。	早上七点闹钟我要上班	早上七点闹钟我要上班	早上七点闹钟我要上班	
Speaker0023_29.0	明天六点提醒我，我要上班儿。	明天六点提醒我我要上班。	明天六点提醒我我要，上班。	明天六点提醒我我要上班	明天六点提醒我我要上班	明天六点提醒我要上班	
Speaker0023_30.0	明天十点提醒我有个会议。	明天十点提醒我有个会议。	明天十点提醒我有个会。	明天十点提醒我有个会	明天十点提醒我有个v	明天十点提醒我有个会	
Speaker0023_31.0	打开淘宝 A P P ，我要购物。	打开淘宝app我要购物。	打开淘宝app我要购物。	打开淘宝APP我要购物	打开淘宝也得给我要狗	打开淘宝APP我要狗	
Speaker0023_32.0	打开京东 A P P ，我要购物。	打开京东app我要购物。	打开京东app我要购物。	打开京东APP我要购物	打开京东AKB我要购物	打开京东APP我要狗	
Speaker0023_33.0	给刘德华发短信，我要请他吃饭。	给刘德华发短信我要请他吃饭	给刘德华发短信我要请他吃饭。	给刘德华发短信我要请他吃饭	给刘德华发短信我要请他吃饭	给刘德华发短信我要吃饭	
Speaker0023_34.0	给刘嘉玲发短信，我要跟她约会。	刘嘉玲发短信我要更改约会	给刘嘉玲发短信我要跟他约会。	给刘嘉玲发短信我要跟他约会	给刘嘉玲发短信我要红的乐队	给刘嘉玲发送	
Speaker0023_35.0	帮我搜索一下百度视频。	帮我搜索一下百度视频。	帮我搜索一下百度视频。	帮我搜索一下百度视频	帮我搜索一下百度视频	帮我搜索一下百度视频	
Speaker0023_36.0	帮我搜索一下三国志视频。	帮我搜索一下三国志视频	帮我搜索一下三国的视频。	帮我搜索一下三国志视频	帮我搜索一下三国的视频	帮我搜索一下三国的视频	
Speaker0023_37.0	?	帮我搜索一下一生中最爱。	帮我搜索一下一生中的最爱。	帮我搜索一下一生中的最爱	帮我搜索一下一生中最爱	帮我搜索一下一生中最爱	
Speaker0023_38.0	帮我搜索一下小苹果。	帮我搜索一下小苹果。	帮我搜索一下小苹果。	帮我搜索一下小苹果	帮我搜索一下小苹果	帮我搜索一下小苹果	
Speaker0023_39.0	帮我开启静音模式。	帮我开启静音模式。	帮我开启静音模式。	帮我开启俊模式	帮我开先进模式	帮我开启静音模式	
Speaker0023_40.0	帮我开机提示模式。	帮我开启提示模式。	帮我开启提示模式。	帮我开启提示模式	帮我开机提示模式	帮我开启提示模式	
Speaker0023_41.0	帮我转账给淘宝。	帮我转账给淘宝。	帮我转账给他吧！	帮我转账给淘宝	帮我找上给淘宝	帮我转账给淘宝	
Speaker0023_42.0	帮我汇款给京东。	帮我汇款给京东。	帮我汇款给京东。	帮我汇款给京东	帮我汇款给京东	帮我汇款给京东	
Speaker0023_43.0	你现在卡吗？	你现在卡吗？	你现在卡吗？	你现在干吗	你现在卡吗	你现在卡吗	
Speaker0023_44.0	你费流量吗？	你费流量吗？	你费流量吗？	你费流量吗	你费流量吗	你费流量吗	
Speaker0023_45.0	你喜欢跑步吗？	你喜欢跑步吗？	你喜欢跑步吗？	你喜欢跑步吗	你胸好不嘛	你喜欢跑步吗	
Speaker0023_46.0	你喜欢游泳吗？	你喜欢游泳吗？	你喜欢游泳吗？	你喜欢游泳吗	你喜欢游泳吗	你喜欢游泳吗	
Speaker0023_47.0	我今天钱包丢了，心情很郁闷。	我今天钱包丢了心情很郁闷。	我今天钱包丢了心情很郁闷。	我今天钱包丢了心情很郁闷	我今天钱包丢了心情很郁闷	我今天钱包丢了心情很郁闷	
Speaker0023_48.0	我赌钱输了，心情很烦躁。	我赌钱输了心情很烦躁。	我赌钱输了心情很烦躁。	我赌钱输了心情很烦躁	我赌钱输了心情很狂躁	我赌钱输了	
Speaker0023_49.0	你能帮我发短信给刘德华吗？	你能帮我发短信给刘德华吗？	你能帮我发短信给刘德华吗？	你能帮我发短信给刘德华吗	你能帮我发短信给刘德华吗	你能帮我发短信给这个话吗	
Speaker0023_50.0	你能帮我订车吗？	你能帮我订张吗？	你能帮我订上吗？	你能帮我进程吗	你能帮我订张了	你能帮我定长了	
