Speaker0119_1.0	三加二等于几？	三加二等于几啊。	三加二等于几啊！	加二等于几	三十二周孕检	三加二等于几呀	
Speaker0119_33.0	给董卿发短信，你好。	给董青发短信你好。	给董青发短信你好。	副董卿发短信你好	给董青发短信你好	给冬青发短信你好	
Speaker0119_34.0	给倪萍发短信，见面。	给宜庭发短信界面。	你平发短信见面。	给你评发短信见面	给倪平发短信界面	给你频发短信界面	
Speaker0119_35.0	看一下今天新闻联播的视频。	看一下今天新闻联播的视频	看一下今天新闻联播的视频.	看一下今天新闻联播的视频	看一下今天新闻联播的视频	看一下今天的新闻联播的视频	
Speaker0119_36.0	看一下去年的春节晚会。	看一下去年的春节晚会。	看一下去年的春节晚会.	看一下去年的春节晚会	看一下去年的春节晚会	看一下去年的春节晚会	
Speaker0119_37.0	搜索我的祖国。	搜索我的祖国	搜索我的祖国.	搜索我的祖国	搜索我的组国	搜索我的生活	
Speaker0119_38.0	我要听宋祖英的好日子。	我要听宋祖英的好日子	我要听宋祖英的好日子.	我要听宋祖英的好日子	我要听宋祖英的好日子	我要听宋祖英的好日子	
Speaker0119_39.0	把手机的亮度调高。	把手机的亮度调高.	把手机的亮度调高.	把手机的亮度调高	把手机的亮度调高	把手机的亮度调高	
Speaker0119_40.0	把手机的音量调高。	把手机的音量调高	把手机的音量调高.	把手机的音量调高	把手机的音量调高	把手机的音量调高	
Speaker0119_41.0	提现三百元。	谢谢三百元。	提现三百元.	极限三百元	提现三百元	提醒我三回	
Speaker0119_42.0	给商家转账二百块。	与商家转战二百块。	与商家转账二百块.	彼尚家嘴到二百块	给商家再到二百块	给商家转账二百块	
Speaker0119_43.0	手机还剩多少流量？	手机还剩多少流量。	手机还剩多少流量？	手机还是多少流量	手机还剩多少流量	手机还生多少流量	
Speaker0119_44.0	手机还有多少电量？	手机还有多少电量。	手机还有多少电量？	手机还有多少电量	手机还有多少电量	手机还有多少电量	
Speaker0119_45.0	你喜欢吃水果吗？	你喜欢吃西瓜。	你喜欢吃水果吗？	你喜欢吃水果吗	你喜欢吃水果吗	你喜欢吃水果吗	
Speaker0119_46.0	我最喜欢西瓜，你喜欢吗？	我最喜欢西瓜你喜欢吗？	我最喜欢西瓜，你喜欢吗？	我最喜欢西瓜你喜欢吗	我最喜欢西瓜你喜欢吗	我最喜欢喜欢你喜欢吗	
Speaker0119_47.0	我今天出门很开心。	我今天出门好开心。	我今天出门很开心.	我今天出门很开心	我今天出门很开心	我今天出门很开心	
Speaker0119_48.0	今天阴天，我心情不好。	极品今天我心情不好。	今天一天我心情不好.	今天一天我心情不好	今天今天我心情不好	今天今天我心情不好	
Speaker0119_49.0	你随便播一首歌给我听。	你随便播一首歌给我听。	你随便播一首歌给我听.	你随便播一首歌给我听	你随便播一首歌给我听	你随便拨一首歌给我听	
Speaker0119_50.0	找一个娱乐视频看看。	找一个娱乐视频看看。	找一个娱乐视频看看.	找一个娱乐视频看看	找一个娱乐视频看看	找一个娱乐视频看看	
