Speaker0102_1.0	二加八等于几?	五加八等于几。	二加八等于几？	加八等于几	我家八等于几	二加八等于几	
Speaker0102_12.0	查询最近升的最快的股票。	查询最近生的最快的股票	查询最近升得最快的股票。	查询最近上的最快的股票	查询最近上的最快的股票	"查询最近上的最快的股票"	
Speaker0102_13.0	查询一个苹果的单价。	查询一个苹果的单价	查询一个苹果的单价。	查询一个苹果的单价	查询个苹果的单价	查询一个苹果的单价	
Speaker0102_14.0	查询三星电脑的价格。	三星电脑的价格	查询三星电脑的价格。	查询三星电脑的价格	查询三星电脑的价格	查询三星电脑的价格	
Speaker0102_15.0	查询拔丝山药的具体做法。	查询拔丝山药的具体做。	查询八四三一的具体做法。	查询发生山药的具体做法	查询二三号的提醒	查询巴斯山药的具体做法	
Speaker0102_16.0	查询做红烧肉的具体材料。	查询做红烧肉的去	查询做红烧肉的具体材料。	红烧肉的具体材料	查询做红烧肉的具体材料。	查询做红烧肉的具体材料	
Speaker0102_17.0	查询去朝阳公园的具体路线。	公园的具体路线	查询去朝阳公园的具体路线。	查询器朝阳公园的具体路线	查询去朝阳公园的地铁路线	查询去朝阳公园的具体路线	
Speaker0102_18.0	查询去北海公园的具体路线。	太公园的具体路线	查询去北海公园的具体路线。	查询去北海公园的具体路线	查询去北海公园的地铁路线	查询去北海公园的具体路线	
Speaker0102_19.0	查询明天天气的具体状况。	明天天气具体情况	查询明天天气具体状况。	查询明天天气的具体状况	查询明天天气的状况对公司好	查询明天天气的具体状况	
Speaker0102_20.0	查询后天天气的具体状况。	后天天气的具体情况	查询后天天气的具体状况。	查询后天天气的具体状况	查询后天天气的具体状况	查询后天天气的具体状况	
Speaker0102_21.0	查询华为手机的售价。	查询华为手机的售价	查询华为手机的售价。	查询华为手机的售价	查询华为手机的售价	查询华为手机的售价	
Speaker0102_22.0	查询苹果手机的售价。	你的首架	查询苹果手机的售价。	查询苹果手机的售价	查询苹果手机的售价	查询苹果手机的售价	
Speaker0102_23.0	查询玩儿王者荣耀的具体人数。	王者荣耀的具体人数	查询玩王者荣耀的具体人数。	查询玩王者荣耀的具体人数	查询完王者荣耀的具体人数	查询玩王者荣耀的具体人数	
Speaker0102_24.0	查询玩儿消消乐的具体人数。	发消消乐的具体人数	查询玩儿消消乐的具体人数。	查询玩消消乐的具体人数	查询玩笑杀了的人数定下来好	查询玩消消乐的具体人数	
Speaker0102_25.0	查询国内的新闻。	查询国内的新闻	查询国内的新闻。	查询国内的新闻	查询国内的新闻	查询国内的新闻	
Speaker0102_26.0	查询今天的国际新闻。	查询今天的国际新闻	查询今天的国际新闻。	查询今天的国际新闻	查询今天的国际新闻	查寻今天的国际新闻	
Speaker0102_27.0	设置今天晚上八点的闹钟。	设置今天晚上八点的闹钟	设置今天晚上八点的闹钟。	设置晚上设置今天晚上八点的闹钟	设置今天晚上八点闹钟	设置今天晚上八点的闹钟	
Speaker0102_28.0	设置今天晚上九点的闹钟。	设置今天晚上九点的闹钟	这是今天晚上九点的闹钟。	设置今天晚上九点的闹钟	设置今天晚上九点的闹钟	设置今天晚上九点的闹钟	
Speaker0102_29.0	明天早上八点去购物。	明天早上八点去购物	明天早上八点去购物。	明天早上八点去购物	明天早上八点去购物	明天早上八点去购物	
Speaker0102_30.0	明天早上九点去购物。	明天早上九点去动物	明天早上九点去购物。	明天早上九点去购物	早上九点去购物	明天早上九点	
Speaker0102_31.0	打开腾讯新闻。	打开腾讯新闻	打开腾讯新闻。	打开腾讯新闻	打开腾讯新闻	打开腾讯新闻	
Speaker0102_32.0	打开 Q Q 音乐。	打开QQ音乐	打开QQ音乐。	打开QQ音乐	打开QQ音乐	打开QQ音乐	
Speaker0102_33.0	给邓超发短信，一起打球。	他发短信息打球	给邓超发短信去打球。	对邓超发的新闻神起打球	给登上发短信一起打球	发短信	
Speaker0102_34.0	给田亮发短信一起游泳。	亮发短信	给田亮发短信一起游泳。	给田亮发短信一起游泳	给田亮号短信	给田亮发短信	
Speaker0102_35.0	搜索加勒比海盗。	加勒比海盗	搜索加勒比海盗？	搜索加勒比海盗	搜索加勒比海盗	搜索加勒比海盗	
Speaker0102_36.0	搜索乡村爱情。	搜索乡村爱情	搜索乡村爱情。	搜索乡村爱情	搜索乡村爱情	搜索乡村爱情	
Speaker0102_37.0	搜索夜曲。	搜索夜曲	搜索夜曲。	搜索射器	搜索夜曲一个	搜索夜曲	
Speaker0102_38.0	搜索音乐曾经拥有。	搜索音乐曾经拥有	搜索音乐曾经拥有。	搜索音乐曾经拥有	搜索音乐曾经拥有	搜索音乐充电应用	
Speaker0102_39.0	调高手机的音量。	调高手机的音量	调高手机的音量。	调高手机的音量	调高手机的音量	调高手机的音量	
Speaker0102_40.0	调低屏幕的亮度。	调低屏幕亮度	调低屏幕的亮度。	调低屏幕的亮度	手机屏幕的亮度	调低屏幕的亮度	
Speaker0102_41.0	微信支付二百元。	支付二百元	微信支付二百元。	微信支付二百元	微信支付二百元	微信支付二百元	
Speaker0102_42.0	支付宝转账二百元。	二百元支付宝转账二百元。	支付宝转账二百元。	支付宝转账二百元	支付宝转账二百元	支付宝转账二百元	
Speaker0102_43.0	手机运行内存占百分之五十六。	手机运行内存占百分之五十六	手机运行内存占百分之五十六。	手机运行内存上涨百分之五十六	手机运行内存占百分之五十六	手机运行内存占百分之五十六	
Speaker0102_44.0	手机存储空间还剩两个 G 。	手机存储空间还剩两个g	手机存储空间还剩两个g。	手机存储空间还是两个G	手机存储空间还剩两个电	手机储存空间	
Speaker0102_45.0	你喜欢吃什么？	你喜欢吃什么	你喜欢吃什么？	你喜欢吃什么	你喜欢吃什么	你喜欢吃什么	
Speaker0102_46.0	你喜欢看什么电影？	看什么电影	你喜欢看什么电影？	你喜欢看什么电影	你喜欢看什么电影	你喜欢看什么电影	
Speaker0102_47.0	我彩票中奖了很开心。	很开心	还有，我彩票中奖了很开心。	我才不要多讲了很开心	我彩票中奖很开心	我彩票中奖了很开心	
Speaker0102_48.0	我毕业了，我很开心。	我必有很开心	我毕业了我很开心	我毕业了我很开心	我毕业了很开心是吧	我毕业了我很开心	
Speaker0102_49.0	请你帮我倒杯水。	请你帮我倒杯水	请你帮我倒杯水	请你帮我倒杯水	你帮我到北市最为什么叫李	请你帮我倒杯水	
Speaker0102_50.0	你去帮我叫辆车。	帮我叫辆车	你去帮我叫辆车。	你去帮我叫辆车	一起帮我叫辆车	你去帮我叫辆车	
