Speaker0089_1.0	七乘九除三得多少？	七乘九除三的多少。	七乘九除三等于多少？	骑乘九三得多少	一乘以九除三得多少	七乘九除三的多少	
Speaker0089_34.0	给邓超发短信说，你真帅。	给邓超发短信说你真帅	给邓超发短信说你真帅。	给邓超话短信说你真帅	a正常发短信说你真帅	给张超发短信说你真帅	
Speaker0089_35.0	我想看甄嬛传第五集。	我想看甄嬛传第五季	我想看甄嬛传第五集。	我想看甄嬛传第五集	我想看甄嬛传第五集	我想看甄嬛传第五季	
Speaker0089_36.0	我想看奔跑吧第四集。	我想看奔跑吧第四集	我想看奔跑吧第四集。	我想看奔跑吧第四季	我想看奔跑吧第四集	我想看奔跑八第四纪	
Speaker0089_37.0	想听安静一些的音乐。	想听安静一些的音乐	想听安静一些的音乐。	想听安静一些的音乐	想听安静一些的医院	想听安静一些的医院	
Speaker0089_38.0	我想听陈奕迅的十年。	我想听陈奕迅的十年	我想听陈奕迅的十年。	我想听陈奕迅的十年	我想听陈奕迅的十年	我想听陈奕迅的十年	
Speaker0089_39.0	把手机设计成飞行模式。	把手机设置成飞行模式	把手机设置成飞行模式。	把手机设置成飞行模式	把手机设置成飞行模式	把手机说一个长飞行模式	
Speaker0089_40.0	关闭一下手电筒。	关闭一下手电筒	关闭一下手电筒。	关闭一下手电筒	关闭下首电台	关闭一下手电筒	
Speaker0089_41.0	给女朋友发个五块钱的红包。	给女朋友发个五块钱的红包。	给女朋友发个五块钱的红包。	给女朋友发个五块钱的红包	给女朋友发个五块钱的红包	给女朋友发个五块钱的红包	
Speaker0089_42.0	支付宝提现一千元。	支付宝提前一千元。	支付宝提现一千元。	支付宝提现一千元	支付宝提现一千元	支付宝提现一千元	
Speaker0089_43.0	我的手机现在还剩多少电？	我的手机现在还剩多少点。	我的手机现在还剩多少电？	我的手机现在还剩多少电	我的手机小男剩多少点	我的手机现在还剩多少电	
Speaker0089_44.0	我手机打开飞行模式了吗？	我手机打开飞行模式了吗？	我手机打开飞行模式了吗？	我手机打开飞行模式了吗	我手机打开飞行模式吗	我手机打开飞行模式了吗	
Speaker0089_45.0	你喜欢大海吗？	你喜欢晒太阳吗？	你喜欢晒太阳吗？	你喜欢晒太阳吗	你喜欢晒太阳	你喜欢晒太阳吗	
Speaker0089_46.0	你喜欢晒太阳吗？	你喜欢大海吗？	你喜欢大海吗？	你喜欢晒太阳	你喜欢大海吗	你喜欢大海吗	
Speaker0089_47.0	我刚才失恋了，我该怎么办？	我刚才失恋了我该怎么办。	我刚才失恋了我该怎么办？	我刚才失恋了我该怎么办	我刚才失恋了我该怎么办	我刚才失恋了我该怎么办	
Speaker0089_48.0	我今天真高兴！	我今天真高兴。	我今天真高兴。	我今天真高兴	我今天真高兴	我今天真高兴	
Speaker0089_49.0	你可以帮我充一下话费吗？	你可以帮我挣一千块钱吗？	可以帮我种一千块钱吗？	你可以帮我充一千块钱吗	你可以帮我挣一千块钱吗	你可以帮我挣一千块钱吗	
Speaker0089_50.0	你可以帮我挣一千块钱吗？	帮我充下话费吗？	你可以帮我充下话费。	你可以帮我冲下话费吗	你可以帮我充的话费	你可以帮我冲下话费	
