Speaker0047_1.0	三乘五加二是多少？	三乘五加二是多少。	三乘五加五是多少？	三十五加二十多少	三乘五加五是多少	三乘五加二是多少	
Speaker0047_39.0	帮我把手机设置成震动的。	我把手机设置成震动的。	帮我把手机设置成震动的。	我把手机设置成震动的	我把手机设置成震动的	帮我把手机设置成震动的	
Speaker0047_40.0	帮我把手机蓝牙打开。	我把手机蓝牙打开。	帮我把手机蓝牙打开。	我把手机蓝牙打开	我把手机蓝牙打开	帮我把手机蓝牙打开	
Speaker0047_41.0	从微信提现二百元。	从微信给肖二百元。	从微信提现二百元。	从微信提现二百元	从微信提现二百元	从微信提醒二百元	
Speaker0047_42.0	从支付宝转账二百元。	从支付宝转账二百元。	从支付宝转账二百元。	从支付宝转账二百元	从支付宝转账二百元	从支付宝转账二百元	
Speaker0047_43.0	后台运用了几个软件？	后台应用了几个软件。	后台应用了几个软件。	后台应用了几个软件	后台运用了几个软件	后台运用了几个软件	
Speaker0047_44.0	你需要充电吗？	你需要充电吗？	你需要充电吗？	你需要充电吗	你需要充电吗	你需要充电吧	
Speaker0047_45.0	你喜欢开飞机吗？	今晚开飞机吗？	你喜欢开飞机吗？	你喜欢开飞机吗	你喜欢开飞机吗	你喜欢开飞机吗	
Speaker0047_46.0	你喜欢开坦克吗？	你喜欢开坦克吗？	你喜欢开坦克吗？	你喜欢开坦克吗	你喜欢开坦克吗	你喜欢开坦克吗	
Speaker0047_47.0	现在怎么下雨了，好烦躁啊。	下雨了好烦躁啊。	现在怎么下雨了好烦躁啊！	现在怎么下雨了好烦躁	现在怎么下雨啦好烦躁	现在怎么下雨了好烦躁	
Speaker0047_48.0	现在怎么出太阳了好开心。	现在怎么出太阳了好开心。	现在怎么出太阳了，好开心。	现在怎么出太阳了好开心	现在怎么出太阳了好开心	现在怎么出太阳了，好开心	
Speaker0047_49.0	帮我撑伞。	帮我撑伞。	帮我撑伞。	帮我撑伞	帮我撑伞	帮我城市	
Speaker0047_50.0	帮我充电。	帮我充电。	帮我充电。	帮我充电	帮我充电	帮我充电	
