2017_05_16\00022\0306.wav	 复赛童童选什么节目好你帮我们选一个好吗 
2017_05_16\00023\0612.wav	是那个呃就是那个全身检测的那个漆好像
2017_05_16\00017\0479.wav	红花向大海
2017_05_16\00027\0600.wav	 你的手机别被你儿子看到了 
2017_05_16\00021\0292.wav	风翻白浪花千片
2017_05_16\00030\0798.wav	老公你辛苦了我知道你不容易你又当娘又当爹
2017_05_16\00015\0403.wav	慢慢去搞慢慢去做嘛慢慢的都有经验了嘛
2017_05_16\00023\0531.wav	 等你习惯了就慢慢的快了 
2017_05_16\00018\0382.wav	没看见才看见昨天晚上打麻将去了白天有且
2017_05_16\00023\0069.wav	 你在屋里 
2017_05_16\00012\0855.wav	不想跟你家抬起来
2017_05_16\00022\0741.wav	 丽有空的话麻烦你啦 
2017_05_16\00016\0396.wav	 常姐说可能要看看你呗 
2017_05_16\00022\0889.wav	 今天来了一个快件 
2017_05_16\00031\0111.wav	好的你不想来就算了吧我也不叫你
2017_05_16\00022\0025.wav	 寄一点过来给俺们吃 
2017_05_16\00031\0106.wav	九点在东寨集合
2017_05_16\00008\0664.wav	 你来你再跟你算账 
2017_05_16\00007\0363.wav	谁知道今天中午听写多少课
2017_05_16\00024\0681.wav	老大发包儿我给你
2017_05_16\00024\0328.wav	你是大款你给谁那儿发一个大的
2017_05_16\00005\0726.wav	每个人的生活都不是完美的
2017_05_16\00005\0861.wav	 刘阳在西城诶 
2017_05_16\00021\0617.wav	 当初都不知道哦昨天有老师提示啊我们才懂得用哦 
2017_05_16\00009\0204.wav	意思我懂看井盖下面有没有垃圾
2017_05_16\00018\0296.wav	今天带没带着孩子去复查
2017_05_16\00013\0713.wav	 妈的今天休息一天今天又白干 
2017_05_16\00021\0469.wav	 我现在在青岛旅游在车上不太方便给你回话我已经接受你的微信等我回到住地咱俩好好儿聊 
2017_05_16\00016\0903.wav	刚才下了一会儿雨
2017_05_16\00019\0578.wav	 想去黄山到时候叫我姨父带你去就可以 
2017_05_16\00004\0309.wav	 可以吗啃猪蹄儿吗 
2017_05_16\00010\0747.wav	 郑永安你以为我炒菜不好吃嗯 
2017_05_16\00011\0147.wav	 嗯谢谢你 
2017_05_16\00002\0468.wav	你是
2017_05_16\00029\0720.wav	那怎么叫没用呢你想我
2017_05_16\00028\0508.wav	这个球友参加武夷山培训的教练
2017_05_16\00001\0974.wav	还是妈妈亲一些没有说给点给姐姐
2017_05_16\00006\0167.wav	 一个月能拿好几万工人都六千 
2017_05_16\00026\0358.wav	 你什么意思 
2017_05_16\00004\0820.wav	他输卵管儿要没有病的话不能出现这个问题
2017_05_16\00028\0879.wav	 抱你个头老大爷 
2017_05_16\00030\0397.wav	 你们吃的啥呀吃的多不 
2017_05_16\00022\0892.wav	中午快吃完了
2017_05_16\00019\0017.wav	我非常的幸福非常的感恩
2017_05_16\00023\0646.wav	 过来打麻将啊 
2017_05_16\00012\0967.wav	 我们主管说如果今天签的话有大米和油送他说如果等我回去签的话可能没有那个什么礼品什么东西吧我也不知道 
2017_05_16\00003\0179.wav	太奸了你
2017_05_16\00021\0877.wav	 妈妈你怎么不 
2017_05_16\00019\0218.wav	 我们打算七月份夏令营八月份去呃旅游 
2017_05_16\00018\0415.wav	 但是你人没在这里 
2017_05_16\00031\0463.wav	 我接孩子的时候儿你从操场下来正走 
2017_05_16\00002\0008.wav	你看杨正浩棒不棒
2017_05_16\00028\0093.wav	 也有高也有低说不清楚 
2017_05_16\00018\0432.wav	下次帮我找一个媳妇好吧
2017_05_16\00027\0419.wav	 小姨我又在用语音输入哦有的时候虽然会错 
2017_05_16\00014\0586.wav	不是你想说话了吗
2017_05_16\00006\0640.wav	 身不由已 
2017_05_16\00001\0128.wav	 我总觉着我应该在上飞机之前就会把自己撑死的 
2017_05_16\00008\0233.wav	我下午还要去银行转账
2017_05_16\00023\0295.wav	 你永远都是我的好朋友 
2017_05_16\00030\0922.wav	 我心就是这么想 
2017_05_16\00032\0823.wav	 我们玩了七八个景点 
2017_05_16\00009\0838.wav	对哦到时候都不用自己做了赶紧找吧
2017_05_16\00024\0063.wav	 我说什么啦我什么都不会说 
2017_05_16\00002\0569.wav	在哪儿减肥的
2017_05_16\00022\0118.wav	 张信你在线儿上吗你看手机了吗 
2017_05_16\00002\0258.wav	吃饭了没有
2017_05_16\00022\0844.wav	 不好意思刚才接了个电话 
2017_05_16\00008\0889.wav	我的韭菜长的像大树一样
2017_05_16\00027\0033.wav	 我问你的朋友 
2017_05_16\00013\0411.wav	 上班吗 
2017_05_16\00010\0222.wav	现在的女人不比男人
2017_05_16\00023\0786.wav	 咱俩年龄相隔太大了 
2017_05_16\00006\0921.wav	你问了吗武术课上不上
2017_05_16\00021\0603.wav	 不知道这是干啥呢反正是没有见他的人 
2017_05_16\00015\0421.wav	 下回咱们到哥哥那儿去啊去不去 
2017_05_16\00013\0494.wav	 没有合适的我和郎华一个房间也行 
2017_05_16\00032\0589.wav	 你好德爱他美德爱现在多少钱一一 
2017_05_16\00020\0439.wav	 处了半天处了个小人狗眼看人低 
2017_05_16\00027\0159.wav	 对在一起这么多年了 
2017_05_16\00030\0948.wav	 价格可以的话我帮你拉到群里你和他们领导谈一谈吧 
2017_05_16\00001\0130.wav	 半老徐娘能找着吗 
2017_05_16\00023\0750.wav	在医院做什么手术怎么不说话的
2017_05_16\00001\0588.wav	 这些都是刘兴莹自己给我的那些 
2017_05_16\00016\0729.wav	体重有没有增加呢
2017_05_16\00026\0903.wav	四哥做人要本分一点不要呃说说三道四但是对我不满的人我我也是对他不是那么说的什么怎么怎么怎么地
2017_05_16\00000\0153.wav	没有声儿看来还行
2017_05_16\00030\0624.wav	 我再拉上合适的就到那儿去 
2017_05_16\00010\0101.wav	因为家里今天实在是走不开如果今天不签的话我就不确定什么时候能签了
2017_05_16\00013\0896.wav	好的宝贝儿我想让你搂我一下
2017_05_16\00014\0617.wav	就是那个换东西那块儿不就是你们小饭桌儿应该是你们小饭桌出来那个口儿然后呢那你中午是在小饭桌吗
2017_05_16\00005\0439.wav	 你那个视频好不好看好看就发点过来看 
2017_05_16\00005\0091.wav	 看看就行了呗 
2017_05_16\00011\0478.wav	 啊你上班哪 
2017_05_16\00013\0224.wav	 刚才说你不靠谱儿我收回 
2017_05_16\00007\0935.wav	还是挺方便的有木有
2017_05_16\00022\0680.wav	 你们上车多久了 
2017_05_16\00016\0406.wav	昨天晚上我不是在微信上面跟你说过
2017_05_16\00000\0206.wav	酒足饭饱了再说啊
2017_05_16\00014\0911.wav	 亲爱的答应我 
2017_05_16\00016\0063.wav	宗华这么懂事的孩子真没有几个
2017_05_16\00009\0993.wav	我在家吃饭呢他已经走了
2017_05_16\00031\0063.wav	 啥急事儿啊需要不需要帮忙啊 
2017_05_16\00017\0307.wav	 我处了个半天处了个小人狗眼看人低 
2017_05_16\00016\0776.wav	 老杨多发些姐姐跳的那舞视频让我看一下 
2017_05_16\00003\0827.wav	闺女你也客气啦
2017_05_16\00031\0309.wav	你爸没在家
2017_05_16\00013\0703.wav	 风声紧铃儿响 
2017_05_16\00005\0636.wav	 李函韵五一班 
2017_05_16\00005\0430.wav	 现在关键是我要 
2017_05_16\00025\0174.wav	我跟他们说了让他们去那个现场办吧
2017_05_16\00019\0561.wav	 你妈都不让我说你 
2017_05_16\00027\0528.wav	想我呢想我就陪你聊会儿天儿
2017_05_16\00026\0604.wav	大姐
2017_05_16\00032\0389.wav	这样的话把你充充那个应付款
2017_05_16\00001\0910.wav	拍几张照片过来
2017_05_16\00006\0625.wav	 你想办法你帮忙 
2017_05_16\00011\0539.wav	许燕军现在是中午十二点四十
2017_05_16\00027\0048.wav	不客气虽然我们在微信上聊但是认识就是缘份
2017_05_16\00009\0883.wav	 那我住新房的时候你们不来 
2017_05_16\00016\0976.wav	亏的能撤掉撤不掉完了
2017_05_16\00019\0982.wav	 你不说你讨厌这个头像吗 
2017_05_16\00012\0313.wav	这张是今天早晨照的这是真面目
2017_05_16\00015\0307.wav	 等我一下我去刷碗 
2017_05_16\00005\0089.wav	哎真的是
2017_05_16\00023\0774.wav	你去泰国啦泰国景儿非常美呀
2017_05_16\00015\0700.wav	我在你家门口上面你在呀
2017_05_16\00004\0874.wav	 今年长期放假没多少钱 
2017_05_16\00018\0978.wav	 那您的意思就是在我当天 
2017_05_16\00000\0179.wav	反正心口总是
2017_05_16\00010\0028.wav	 这个出了二十个单以后然后这一百块钱返给你 
2017_05_16\00020\0924.wav	 把那个厂膏药的厂家发过来 
2017_05_16\00022\0185.wav	行吃饭去吧一会儿加你
2017_05_16\00025\0647.wav	我家一个女儿作业没做完不敢去
2017_05_16\00031\0907.wav	 这段时间在忙些什么 
2017_05_16\00031\0852.wav	 我等着高老师的电话 
2017_05_16\00004\0024.wav	赵元章你告诉他们那个平板在不用的时候一定要息屏
2017_05_16\00026\0570.wav	 更加发不了给别人 
2017_05_16\00003\0619.wav	是啊我知道你在郑州
2017_05_16\00015\0647.wav	他说的时候
2017_05_16\00028\0896.wav	昨天晚上我发信息给你你不知道吗
2017_05_16\00027\0646.wav	你好吴子萱现在是不是有一米还是一米一了
2017_05_16\00023\0855.wav	 你小老姑那时我也想不开 
2017_05_16\00002\0740.wav	 你问问那公嗯公共汽车是几点往家回 
2017_05_16\00013\0275.wav	你可以买一盒炫迈
2017_05_16\00028\0807.wav	赵哥早就看过了
2017_05_16\00009\0020.wav	 猥琐大叔很大的声音对着我喊老师傅什么什么哦好恐怖哦我就走掉了 
2017_05_16\00028\0932.wav	 现在小燕子都叫不动哥哥了吗 
2017_05_16\00004\0712.wav	阿辉现在的话自己还没有进去群里
2017_05_16\00021\0282.wav	在哪儿照的
2017_05_16\00018\0054.wav	完成天安人寿肿及肿瘤中心团体的接待工作现均已账务核对完毕并
2017_05_16\00009\0119.wav	 我每天七格加五格的单子数大概就有一百多单以上 
2017_05_16\00022\0121.wav	 你那个铺盖不要就给他扔掉了哦 
2017_05_16\00003\0471.wav	 今天就躺一下就准备做做口罩一直做到晚上一点 
2017_05_16\00032\0124.wav	 余燕希也是扁桃体发炎没别的问题 
2017_05_16\00022\0575.wav	 赶紧好起来明天去旅游去 
2017_05_16\00016\0600.wav	 是呀停水了 
2017_05_16\00022\0347.wav	 你下班早关我屁事 
2017_05_16\00003\0744.wav	哈不说话不打字了就说话
2017_05_16\00012\0931.wav	我这几天也没吃没吃饭也没睡好
2017_05_16\00008\0417.wav	 毕竟是二中的老同学苏荣和我在一起还挺谈的来得不管是家里的事还是后来单位的事 
2017_05_16\00032\0651.wav	刘众华你是回哪里去啦
2017_05_16\00006\0441.wav	抛金引玉
2017_05_16\00005\0455.wav	 因为今天是个特别特殊的日子 
2017_05_16\00021\0911.wav	是很忙种菜打扫卫生
2017_05_16\00015\0760.wav	师姐余下的两组玻璃
2017_05_16\00020\0909.wav	哥我不会说太好听的
2017_05_16\00014\0198.wav	我还没见过你们那什么样呢
2017_05_16\00013\0644.wav	 好的大哥 
2017_05_16\00030\0279.wav	我们家这个党的书记已经辞职
2017_05_16\00001\0648.wav	 正好儿高一毕业 
2017_05_16\00027\0665.wav	杨老师钱发过去了怎么办呀
2017_05_16\00012\0302.wav	我知道人生会有很多坎坷的
2017_05_16\00005\0508.wav	这个电话你打不打
2017_05_16\00021\0905.wav	你姐讲的
2017_05_16\00024\0390.wav	 因为我跟他根本就不熟 
2017_05_16\00018\0308.wav	 刚吃过饭你在干嘛吃了没有 
2017_05_16\00025\0842.wav	 因为他老跟狗说话他就习惯了像跟小孩儿说话一样了挺好 
2017_05_16\00030\0681.wav	 你来的话我还在这边 
2017_05_16\00032\0551.wav	 你以后做事不要急于求成 
2017_05_16\00006\0190.wav	 你又不是我们成都的 
2017_05_16\00019\0856.wav	 两个人之间也没有什么秘密了 
2017_05_16\00020\0710.wav	 不可能叫他成美女的 
2017_05_16\00004\0284.wav	行啊挣点儿就中也挑苗不是什么好活儿让他回来吧
2017_05_16\00000\0138.wav	因为二十天以后
2017_05_16\00016\0559.wav	才看见
2017_05_16\00000\0125.wav	你这两天又在哪里玩儿嘞又照了这么多相片
2017_05_16\00009\0123.wav	在中学谈恋爱只敢摸摸手亲亲嘴
2017_05_16\00012\0411.wav	 现的这狗都改良了都像人了 
2017_05_16\00012\0062.wav	 好的妈妈要休息了太困了 
2017_05_16\00012\0595.wav	你的身体能行吗
2017_05_16\00019\0350.wav	咋地
2017_05_16\00029\0911.wav	 请问你认得坚强女人吗 
2017_05_16\00018\0652.wav	你是流量就不开了睡觉吧
2017_05_16\00012\0278.wav	 做自己情绪的主人一个人最后在社会上占据什么位置绝大部分取决于控制情绪的能力对销售人员来说稳定情绪处变不惊游刃有余成功 
2017_05_16\00027\0269.wav	 时间也太少了国家法定节假是好几天嘞 
2017_05_16\00016\0845.wav	 小敏哪我怎么看你那个钱不见涨呢你那么的你把那沿着那点开以后那不有转发赚钱那个吧你你就点那个然后那里的文章你发到同学圈儿和这个嗯 
2017_05_16\00022\0841.wav	在床上躺着要睡午觉啦
2017_05_16\00002\0784.wav	 你看到李红没有他跟我聊天他要到他姐姐那里去听课去了 
2017_05_16\00004\0076.wav	我给你的信箱发了一个杀毒软件
2017_05_16\00024\0295.wav	 下雨路上滑 
2017_05_16\00020\0430.wav	 贝儿你们这么早啦是要去吃豆花儿饭喏怎么又没有吃成喏 
2017_05_16\00023\0882.wav	你没看见还不是我和你说话呀
2017_05_16\00011\0062.wav	我要给你借三百块
2017_05_16\00021\0329.wav	 咱妹比完了吗 
2017_05_16\00029\0250.wav	早吃饭了吗
2017_05_16\00024\0072.wav	儿子你先保持好的心情
2017_05_16\00011\0127.wav	 下午四点半的 
2017_05_16\00001\0275.wav	 你还上班啊 
2017_05_16\00009\0124.wav	 说什么呀连红包还到现在都不给发 
2017_05_16\00021\0695.wav	 语文老师你好我今天 
2017_05_16\00005\0628.wav	他药店的门牌儿号儿叫啥
2017_05_16\00033\0271.wav	 我找了一下我上面所有的记录全部清空了 
2017_05_16\00025\0898.wav	有啥好挣扎的嘛
2017_05_16\00031\0302.wav	 群里边男男女女 
2017_05_16\00019\0014.wav	 原则上无特殊无 
2017_05_16\00000\0272.wav	 二姐今天我回家嘞看看妈没事儿挺好的都 
2017_05_16\00003\0834.wav	那孩那孩子找不找她妈呀
2017_05_16\00005\0790.wav	 金老板小武有没有在店里面 
2017_05_16\00000\0428.wav	 那你从这次以后以后还会往家往爸爸那里要钱吗 
2017_05_16\00002\0086.wav	 你发一点视频来和一点 
2017_05_16\00010\0343.wav	正在屋啊正在睡呀
2017_05_16\00026\0312.wav	 这是我今天给他选的衣服他准备发给他看看的哪一件好我说顺便也给你捎上一件 
2017_05_16\00025\0971.wav	 我有事跟你商量 
2017_05_16\00010\0241.wav	咱们改个规则吧抢的最多的发
2017_05_16\00031\0293.wav	想你了怎么办
2017_05_16\00024\0538.wav	 如果你今天晚上早回来我有事和你研究可以吗 
2017_05_16\00029\0877.wav	 康康跟他妈妈说小妈挺好的 
2017_05_16\00025\0721.wav	怎么啦我今天说话你不爱听啦和你开个都是玩笑话呀
2017_05_16\00013\0752.wav	 上班儿的不能抢红包中午 
2017_05_16\00011\0171.wav	老公我是相信你的但是你不相信我呀
2017_05_16\00031\0604.wav	打字很费力
2017_05_16\00025\0965.wav	我再也不喜欢你了我喜欢小唐唐你妹妹O K挂掉
2017_05_16\00015\0094.wav	 如果我种植的玉米不可以吗 
2017_05_16\00020\0798.wav	 下面的那个是裙子 
2017_05_16\00012\0257.wav	那你也拍一张照片给我啊我发给他看一下
2017_05_16\00020\0263.wav	 我的嘞个去 
2017_05_16\00029\0324.wav	 歌曲的第三句 
2017_05_16\00024\0147.wav	 你到哪里去呀我来开门啦 
2017_05_16\00003\0667.wav	人家还让我问问你们老家是什么地方的
2017_05_16\00015\0156.wav	 小敏哪我看你的钱不见涨呢你把那沿着点开以后那不有个转发挣钱吗 
2017_05_16\00012\0619.wav	我不知道沈希在哪里
2017_05_16\00023\0991.wav	不客气啦认识就是缘份
2017_05_16\00006\0970.wav	 上厕所你得跟着他 
2017_05_16\00031\0178.wav	 你现在都是国产的柴油机柴油机怎么价格还这么高嘞 
2017_05_16\00015\0367.wav	 我给我同学打电话了应该我同学会给我 
2017_05_16\00026\0954.wav	实实在在的话你说成太贫
2017_05_16\00009\0269.wav	 他是我目前发现为止尺寸最好的 
2017_05_16\00027\0624.wav	我们中午有一个半小时休息呢
2017_05_16\00012\0026.wav	 麻烦你变成蜗牛了 
2017_05_16\00011\0856.wav	 你一会儿过来呀 
2017_05_16\00001\0232.wav	抛金引玉
2017_05_16\00028\0972.wav	 一上屋就看到这姐俩儿在看 
2017_05_16\00030\0924.wav	最先说是他是最先说他是随你便
2017_05_16\00021\0332.wav	坐车也就是半个多小时吧
2017_05_16\00012\0414.wav	就怪我带着孙女没空
2017_05_16\00023\0053.wav	 教师头上也有三座大山 
2017_05_16\00012\0843.wav	 亲爱的不要这样好吗 
2017_05_16\00005\0362.wav	 你现在在忙啥子 
2017_05_16\00028\0440.wav	你慢慢的吃吧
2017_05_16\00026\0372.wav	我是想聊聊能卖出我的床单儿去还可以
2017_05_16\00031\0073.wav	回来都不说一声
2017_05_16\00030\0763.wav	晌午睡了一觉儿
2017_05_16\00009\0922.wav	 打开要看看你 
2017_05_16\00005\0775.wav	 儿子累了快去休息 
2017_05_16\00015\0742.wav	 这个小狗有没有你那个小狗漂亮 
2017_05_16\00023\0893.wav	 今天你不上班为什么不说一声呢 
2017_05_16\00026\0317.wav	我是肥水不流外人田
2017_05_16\00004\0692.wav	不方便可以不说
2017_05_16\00023\0558.wav	嗯血压低我知道你不能汗蒸
2017_05_16\00009\0708.wav	 有母亲真好有人儿关心 
2017_05_16\00013\0842.wav	 女方的身高一米六五 
2017_05_16\00004\0365.wav	 你这个月要多三天 
2017_05_16\00031\0894.wav	 有几个能做得到了 
2017_05_16\00027\0822.wav	 瞌睡的不是还没去 
2017_05_16\00014\0841.wav	 吃的饭休息会儿再走 
2017_05_16\00010\0674.wav	 男的要有单子给老李安排一起 
2017_05_16\00019\0424.wav	 装完车炒菜再吃饭 
2017_05_16\00020\0829.wav	 我家女儿找到你这个老婆婆不要太幸福哦 
2017_05_16\00016\0871.wav	 李勇发的视频 
2017_05_16\00005\0218.wav	吃饭了没有啊
2017_05_16\00005\0059.wav	瞒着的时候又吃不消
2017_05_16\00006\0996.wav	雅丽说他们家有
2017_05_16\00011\0796.wav	 反正我现在也没有干活天天完 
2017_05_16\00013\0643.wav	 各位家族宗亲 
2017_05_16\00014\0967.wav	 兄弟大半年都过去了你还搁家呆着呢 
2017_05_16\00003\0126.wav	 退休还给十亩地吗 
2017_05_16\00032\0238.wav	 婆婆叫你好了以后再上班 
2017_05_16\00032\0307.wav	 嗯可能是康康知道我的号儿 
2017_05_16\00033\0213.wav	 七年级学平面 
2017_05_16\00003\0762.wav	 我们要对女性的胸形有所了解世界上的女人的胸跟脸一样 
2017_05_16\00020\0093.wav	你去吃饭要走那么远吗
2017_05_16\00008\0855.wav	 老板帮我煮一碗老油炸 
2017_05_16\00009\0071.wav	 骗你干嘛真的好忙招人又招不到 
2017_05_16\00029\0537.wav	 我们就一直上呃 
2017_05_16\00020\0420.wav	如果种迟一点的玉米不可以吗
2017_05_16\00009\0267.wav	 两个一起吃 
2017_05_16\00002\0342.wav	 他退休还给十亩地吗 
2017_05_16\00025\0143.wav	 亮哥有一个圆通快递我给你带回去了 
2017_05_16\00015\0481.wav	一个老两个老头来喝酒两双筷子两种酒喝了两种酒吃了两片藕两个仙桃咬两口摆一摆扭一扭两棵柳树搂两搂两搂
2017_05_16\00021\0250.wav	啊那你忙吧啊
2017_05_16\00011\0272.wav	 是不是去照相 
2017_05_16\00025\0158.wav	我看你是挺有素质的人哪怎么说话呢
2017_05_16\00026\0383.wav	哦我给你问一下吧有一个老有一个人要买啊是买了我给你打电话啊
2017_05_16\00012\0401.wav	关键是这个小家伙喂他吃还不吃钙
2017_05_16\00008\0692.wav	 谢谢谢谢 
2017_05_16\00016\0133.wav	你上班吧不打扰你了有空再聊
2017_05_16\00025\0106.wav	 他去武夷山参加培训的教练 
2017_05_16\00019\0550.wav	你家欠费四十七块九毛六我把那个笤帚给你发过去了你这两天赶紧去交费这时间长了有这个滞纳金
2017_05_16\00016\0495.wav	刚才在医院这里他都说没事就回家了那医生明明说要打针他都叫我回家你说他是什么人哪
2017_05_16\00026\0914.wav	你们全部都要发两个或两个以上的
2017_05_16\00004\0279.wav	给你说那个事儿你给人家来说了没有
2017_05_16\00031\0122.wav	 现在不挑了啊我手机放那里充电电充好再挑啊 
2017_05_16\00022\0381.wav	 我都不会和别人说话的 
2017_05_16\00020\0688.wav	 娟儿这身衣服刚合适大小正好谢谢了啊 
2017_05_16\00023\0407.wav	我胡说八道你不理我
2017_05_16\00028\0477.wav	这笑脸儿给我我想你呀
2017_05_16\00017\0583.wav	 为什么饭都吃不下了 
2017_05_16\00021\0690.wav	 你怎么去呀开车去呀上班儿 
2017_05_16\00009\0057.wav	 我吃半张烙饼 
2017_05_16\00003\0993.wav	 马老师说让我加董佩的微信 
2017_05_16\00014\0108.wav	不要发这种图片过来了今天美女心情不好等一下要发火了
2017_05_16\00016\0687.wav	就是你看一个人的课程介
2017_05_16\00017\0228.wav	吃没吃中午饭哪
2017_05_16\00024\0423.wav	我昨天买的药洗的上的
2017_05_16\00014\0488.wav	偶尔用一次没事儿的
2017_05_16\00021\0295.wav	 神经病你发信息给他干嘛 
2017_05_16\00015\0732.wav	美女你在做什么
2017_05_16\00015\0852.wav	看来你是老谋深深算
2017_05_16\00018\0478.wav	 你又住新宅了呀 
2017_05_16\00013\0429.wav	如果有到丹东来十一前后儿丹东海鲜老好吃
2017_05_16\00021\0425.wav	你就是一个善良的女人
2017_05_16\00012\0885.wav	 对越老实的男人越讲话 
2017_05_16\00002\0432.wav	 等你回来烧点咸菜给你吃 
2017_05_16\00015\0996.wav	就是我的就是我的这个头像
2017_05_16\00006\0716.wav	 小郑刘阳是在西城 
2017_05_16\00013\0063.wav	 你们单位没有出差的机遇吗 
2017_05_16\00005\0657.wav	那不好整吧你包管子的有那个管子的那种粗细呀有尺寸的呀
2017_05_16\00005\0174.wav	老同学
2017_05_16\00030\0668.wav	美女认识你是我的荣荣幸
2017_05_16\00007\0914.wav	他打四平过来嗯我换流量吗还是他换流量
2017_05_16\00007\0261.wav	 那个你不是十一点半到家吗我就惦记你 
2017_05_16\00002\0092.wav	 三月十六号到四月十六号 
2017_05_16\00006\0554.wav	 在舟桥那个山村村里面 
2017_05_16\00006\0005.wav	每个人的生活都不是完美的
2017_05_16\00021\0769.wav	 老姑娘到没到家呢 
2017_05_16\00000\0328.wav	 我就想和你玩玩儿你不想跟我玩儿吗 
2017_05_16\00032\0242.wav	陈传高
2017_05_16\00003\0882.wav	爸爸我想养一只小泰迪可以吗
2017_05_16\00016\0960.wav	当然不该交了我才交的
2017_05_16\00008\0171.wav	 我是花痴吗等着你请我吗 
2017_05_16\00011\0576.wav	 一下又不说话一下又找我说话 
2017_05_16\00006\0728.wav	那天我跟那帮朋友说
2017_05_16\00017\0947.wav	我快吧已经到单位了
2017_05_16\00001\0221.wav	 谁让你昨天晚上跑出来的 
2017_05_16\00004\0360.wav	 小宝贝吃煎饼哪 
2017_05_16\00030\0558.wav	 每月进行物资盘点与系统 
2017_05_16\00024\0972.wav	还行不算热
2017_05_16\00014\0796.wav	我天天没事儿
